,Year/Quarter,Fixed 30-year Rate
0,1975Q2,8.8754
1,1976Q2,8.7769
2,1977Q2,8.8077
3,1978Q2,9.5577
4,1979Q2,10.7638
5,1980Q2,14.4192
6,1981Q2,16.2392
7,1982Q2,16.7662
8,1983Q2,12.7631
9,1984Q2,14.0354
10,1985Q2,12.7854
11,1986Q2,10.2462
12,1987Q2,10.3431
13,1988Q2,10.3592
14,1989Q2,10.6362
15,1990Q2,10.3238
16,1991Q2,9.5223
17,1992Q2,8.6777
18,1993Q2,7.4531
19,1994Q2,8.4277
20,1995Q2,7.9177
21,1996Q2,8.1023
22,1997Q2,7.9269
23,1998Q2,7.0977
24,1999Q2,7.1815
25,2000Q2,8.3162
26,2001Q2,7.13
27,2002Q2,6.8131
28,2003Q2,5.5069
29,2004Q2,6.1062
30,2005Q2,5.7085
31,2006Q2,6.6023
32,2007Q2,6.3585
33,2008Q2,6.0869
34,2009Q2,5.0123
35,2010Q2,4.9223
36,2011Q2,4.6508
37,2012Q2,3.7946
38,2013Q2,3.6723
39,2014Q2,4.2277
40,2015Q2,3.8192
41,2016Q2,3.5892
42,2017Q2,3.98
43,2018Q2,4.5446
44,2019Q2,4.0108
45,2020Q2,3.2392
46,2021Q2,3.0038
47,2022Q2,5.2662
