DATE,MAFAINUSA646N,MAFAINUSMWA646N,MAFAINUSNEA646N,MAFAINUSSOA646N,MAFAINUSWEA646N
1/1/1975,15550,16130,16380,14150,16180
1/1/1976,16870,17770,17290,15460,17540
1/1/1977,18260,18830,19050,16920,18880
1/1/1978,20090,20690,20610,18610,21260
1/1/1979,22320,22900,23190,20500,23800
1/1/1980,23970,24350,24830,22190,25740
1/1/1981,25840,25920,26710,24340,27500
1/1/1982,27390,27380,28390,25850,29090
1/1/1983,28640,28290,30310,27180,29920
1/1/1984,31050,30230,32880,29550,32870
1/1/1985,32940,32080,35770,30580,35270
1/1/1986,34920,33890,38090,32720,36800
1/1/1987,36880,36130,40280,34360,38750
1/1/1988,38610,38160,43180,35450,40040
1/1/1989,41510,40510,47330,37670,43510
1/1/1990,42650,42410,47220,38640,45310
1/1/1991,43240,42700,48240,39320,45690
1/1/1992,44220,43550,48720,40350,47300
1/1/1993,47220,45570,52600,43470,50420
1/1/1994,49340,48110,56250,45550,50780
1/1/1995,51350,52440,55520,46920,53890
1/1/1996,53680,54020,60100,49410,54800
1/1/1997,56900,57610,62670,52930,57780
1/1/1998,59590,60910,64890,55420,60550
1/1/1999,62570,63540,69780,57750,63330
1/1/2000,65770,66870,72850,60620,67170
1/1/2001,66860,66100,75770,62120,67850
1/1/2002,66970,67260,74460,62180,68280
1/1/2003,68560,69000,76550,62820,71030
1/1/2004,70390,69130,79230,65600,72380
1/1/2005,73300,71990,82090,67860,76410
1/1/2006,77320,75050,87620,71540,80880
1/1/2007,78850,77480,86340,73470,83240
1/1/2008,79630,76430,88720,73640,85600
1/1/2009,78540,74930,91100,72090,82940
1/1/2010,78180,76120,88380,73120,80790
1/1/2011,81010,78710,90730,76190,83870
1/1/2012,82840,83190,92650,75730,86890
1/1/2013,87670,88450,98920,79630,91980
1/1/2014,88770,87430,100000,83070,90940
1/1/2015,92670,92270,103900,86160,95390
1/1/2016,97360,95820,110200,90110,101300
1/1/2017,103200,102600,117900,94230,107900
1/1/2018,106000,105800,122900,95750,111400
1/1/2019,116700,114700,133400,108100,121000
1/1/2020,115300,116500,129700,106100,119200
1/1/2021,121800,120100,139700,109600,131600
1/1/2022,126500,126700,141400,115000,135300
